"nome_do_funcionario","item_comprado","valor_em_real","data_da_compra"
"Nikolett DÁVID","Coca-Cola Zero (350ml)","3.99","2024-09-29 17:19:46"
"Renee Porter","BARREL (SUSPENSION KIT 500 X 1000MM)","724.9","2024-10-08 10:59:18"
"Julio Cesar","Government","651.0","2024-01-26 08:27:48"
"Jonathan Weschler","Politics","1126.0","2024-04-19 22:46:53"
"Ellis, Tracy","T-shirts","6.0","2024-08-14 09:03:13"
"SARAH JONES","Office Supplies","267.0","2024-07-21 00:28:52"
"YEENG KAMA","Office supplies","110.0","2024-08-13 13:30:15"
"Gomes, Antonio","Máquina de escrever","332.0","2024-05-26 06:24:57"
"Ashraf Hamid","Motorola MOTO G7 POWER","1389.0","2024-09-05 12:28:41"
"Leonard P.W.","Foder de Tinta","17.82","2024-05-10 02:40:11"
"ABRAMS, JOSEPH","Pacific Blue (1825ml)","148.74","2024-11-14 08:14:35"
"Fernanda","Cafeteria","6.75","2024-02-20 15:11:52"
"Kimberly Wallace","Office supplies","3.26","2024-01-04 11:53:53"
"Park, Jae-Hoon","Dispositivo eletrônico","899.0","2024-04-08 18:53:03"
"JAIME FERNANDO BELTRAN","Parlamentar","142.96","2024-10-12 16:59:24"
"JOHN OLUFEMI","CHAIR","100.0","2024-02-08 09:49:01"
"Krishna","Gasoline","380.0","2024-06-12 15:03:41"
"FRANCIS, Kenneth","Fuel","4.95","2024-01-01 00:00:00"
"Nikita","Chicken","18.2","2024-07-08 11:03:23"
"Vincent","Computador","1055.0","2024-08-20 16:32:11"
"Lee, Ah Hwee, Ms","Office Supplies","11.0","2024-03-07 12:04:21"
"DANIEL, MARIA","RPG 2000","1.14","2024-03-14 08:49:16"
"MARIA BALDOVINO","Portaria de simples fiscal","1.62","2024-01-23 15:36:26"
"Francis Kwateng","CARACTERE","5.0","2024-03-02 09:13:21"
"BELLA VAN RUYSDEL","iPhone 11 64GB","2885.0","2024-07-18 15:29:53"
"MARTIN, KEVIN D","BANCA DO BRASIL","547.0","2024-08-06 17:27:33"
"Renata","Documentos de Pagamento","40.0","2024-09-01 13:52:51"
"WILLIAM GALLOWAY","JUNIOR ADVERTISING INTERNSHIP","2779.0","2024-09-14 14:33:10"
"Bernard","Bomba de água","114.5","2024-06-16 14:11:18"
"M. B. KHADIYATULLOVA","BALUCHISTAN","13.96","2024-02-03 12:35:42"
"Mr. Şahin Çakır","Assistência de Internet/Móvel","2.1","2024-12-17 11:53:58"
"Kandan","BIRTH CERTIFICATE","9.99","2024-11-22 13:16:54"
"Ganapathy, S","PEN","668.88","2024-11-08 04:20:11"
"Emmanuel OCAH","Portable Washing Machine","1833.0","2024-12-04 00:41:23"
"SUNIL KUMAR","Dell Inspiron 5570 15.6"" FHD Laptop i7 8th Gen, 16GB RAM, 256GB SSD, Win 10 Pro, Backlit KB, DOS200073156","6934.0","2024-09-08 17:26:30"
"Geraldo José da Silva","Materiais para manutenção em material de oficina","121.85","2024-03-26 21:24:44"
"Diana Chow","Government","77.0","2024-08-07 14:03:41"
"mr. mohamed","Gasoline","14.26","2024-02-02 15:23:05"
"ANNE, SARAH","CUPON 2X IMPORTADO","345.0","2024-12-31 19:48:23"
"Ramkumar","TelevisÃ£o digital","141.0","2024-04-20 08:27:38"
"Bailey, Greg","Cosmetic body products for women","21.38","2024-12-19 11:59:40"
"Sharifat Akter","Government","81.42","2024-07-24 10:36:43"
"Clever I.","Veículo de aluguel","117.93","2024-03-15 12:42:13"
"H. Hernández","ELETRONICO","455.0","2024-12-22 10:33:40"
"Mr. Ramesh","Electricity Charges","116.84","2024-02-28 15:24:37"
"BIRUTIĆ, Tatjana","REPARAÇÃO DE FREIO","220.0","2024-09-24 22:13:32"
"KAVITA SHAKUNTALA CHANDAN","RECOMPENSAS POR SERVICOS ESPECIAIS","234.93","2024-10-10 14:08:59"
"BENJAMIN\_BERNANKE","Mortgage","527512.0","2024-01-19 08:54:39"
"Ageyi Isaac","SALARY CLAIM","549.0","2024-09-21 18:44:52"
"JORGE LUIS MARIN RODRIGUEZ","Escritório de Frente","992.0","2024-12-03 09:32:19"
"JAMES","BRAND NEW CROSS BODY PURSE","165.42","2024-02-25 14:41:53"
"J.L.C. DUNCAN","TOD - 3M VELOCITY 610M PANEL FILTERS","1.14","2024-09-13 12:01:00"
"DUBE, RICHARD MATHABA","Refrigerator","1560.0","2024-01-15 15:02:59"
"Ala","Gabinete de engenharia","414.0","2024-06-16 12:45:38"
"Lydia Zhang","Samsung","208.9","2024-01-22 10:17:18"
"TERRY, MARLON","administrativo","3299.0","2024-12-19 08:24:33"
"Patrick","Consumo","14.5","2024-04-24 08:34:03"
"Margaret Jackson","Carbon Fiber Bamboo Wood Folding Bike","1309.6","2024-05-21 11:21:52"
"Zulfiqar Ahmed","Machinery and equipment for electricity and gas","3180.0","2024-11-20 09:41:40"
"Mrs. Elif","Internet","219.77","2024-09-25 09:47:56"
"Sally Ann","food","2.0","2024-08-13 09:24:20"
"Karen M.","Bancada para gabinete","382.99","2024-06-07 12:42:17"
"Ayub, Prince","THOMSON SAMPLING","2.65","2024-07-09 13:49:04"
"HUSSAIN, ASHRAF","COFRE DE SECRETARIA","419.99","2024-03-22 00:00:00"
"Mrs. Mary G. Vives","Hair Spray","2.65","2024-03-23 06:13:11"
"KAHINDA NAKIGUZI","PAYMENT FOR VARIOUS GOODS & SERVICES","10000.0","2024-06-11 11:48:11"
"Yuriy Petrovych","Першу групу дисциплін","144.0","2024-01-17 10:36:34"
"Андрей","Товар для государственного учреждения","465.28","2024-01-13 16:03:45"
"Bradley Elton","DE MATERIAS INFORMATICAS PARA AVANCO DE PROJETO","298.0","2024-07-23 15:59:58"
"Ahmed Al-Shaibani","CAR","17100.0","2024-09-13 16:26:12"
"Arlene Grandin","Computador (Computer)","519.0","2024-04-26 15:07:22"
"Mr.	B. Sample","Food","10.0","2024-06-10 10:35:12"
"George","Dell Latitude 7480","1322.85","2024-05-19 21:32:12"
"Chand","Desk Calculator","50.0","2024-04-21 17:24:54"
"Kamoisa, Samuel","Papel","3.9","2024-08-13 10:19:00"
"Margarita Alejandra López Vázquez","Gobierno del Distrito Federal","239.77","2024-05-25 13:34:13"
"Zachariah Fuchs","Government","270.0","2024-03-25 15:37:00"
"Teka Gebrehiwot","VERSÃO INTEGRAL DO NÓSIS","70.79","2024-09-25 14:37:21"
"Adelina","Compras de 30 mil reais","30000.0","2024-08-29 10:20:09"
"Ronald Dandy","ROLEX VINTAGE DATE (1978)","1988.0","2024-12-24 18:38:31"
"Sarmad","Cotton","361.6","2024-09-24 11:36:47"
"Mrs. Masango Nokuzola","Medicine","449.7","2024-01-04 12:45:09"
"Prashant Patil","BULLET PROOF VEST","1818.49","2024-09-22 01:36:20"
"Nancy Griffin","Office supplies","141.0","2024-06-24 13:08:47"
"Rao, Arun","Rao, Arun","21.0","2024-07-26 12:05:06"
"RAMYA, K R","PANSHIP M14212","58.5","2024-04-16 15:08:56"
"DARREN MARK","OIL","113.95","2024-02-17 15:48:00"
"Someone","Kit","13.0","2024-05-28 13:35:39"
"Ahmed Mohamed Farag","compras-publicas","18.45","2024-12-30 16:31:35"
"Ralph Rae","Executive Office for the President","135.0","2024-06-17 08:48:37"
"Svetlana Petrenko","maçã","2.5","2024-01-26 16:45:00"
"Ms. Ngoc Nguyen","77,43 US$","499.1","2024-08-03 14:28:24"
"Alexander Peter","CASCAO DO MAR (CASCAO DO MAR)","272.5","2024-06-04 07:44:41"
"Mr. Mohamed AIMOUD","Materials and supplies","193.9","2024-11-10 13:50:44"
"Mary Kramer","Super Visible Tinted Contact Lenses","144.99","2024-01-11 16:44:28"
"Richard Richardson","Cellular Phone 2nd Generation","322.91","2024-08-03 22:34:47"
"BENJAMIN OLOWOLO","Computer","3102.0","2024-07-16 13:53:46"
"Tita M. Monticelli","Câmbio","0.15","2024-06-13 07:25:00"
"BALDEV KAUR","Veículos de motor","28051.0","2024-09-15 13:53:43"
"Peter Mulholland","Cotton t-shirt","93.99","2024-12-27 18:00:00"
"Mr. Samir Kumar Roy","Oil (2000 cc)","237.84","2024-08-18 17:44:11"
"Belemba K.","CARRO","10983.0","2024-02-06 11:18:21"
"Mr. Kashif Ali","Paper","175.0","2024-05-10 18:02:27"
"Ana","Carro","107307.0","2024-05-01 10:14:51"
"David Pandzis","Equipment for teleworking","293.0","2024-03-08 19:42:20"
"Salim","Suporte Técnico Informático","226.0","2024-12-09 11:53:07"
"Lee F.","Hydrocortisone cream","23.18","2024-01-11 15:15:00"
"Herman","Eventos e Festas","155.0","2024-06-12 14:10:00"
"Albert Fleming","Cordless drill","177.0","2024-01-11 21:47:57"
"SAMUEL OKOYE","LCD TV 32INCH","1347.34","2024-10-02 14:54:50"
"Bailey Mccaughey","Government","204.22","2024-11-12 10:19:19"
"Kien Tran","Government","177.0","2024-06-04 12:36:37"
"James","Papel","3.77","2024-02-03 15:19:31"
"José Gonzalez","Gasoline","33.0","2024-02-24 15:59:39"
"Pilar","Compra de computador","138.0","2024-05-06 19:03:50"
"KATHERINE K","Fuel","12.13","2024-08-15 09:05:55"
"Wood, Oisín","Supply of goods and services","1265.51","2024-07-13 06:56:08"
"Mohamed Mohamed","Barras de Chocolate","3.3","2024-10-13 14:27:26"
"Rhys Evans","Consultas e Exames","124.08","2024-07-07 14:00:54"
"Kouadio Djékou","Celular","5706.0","2024-08-19 12:13:36"
"Ayaz","DAA","20.0","2024-08-25 09:04:07"
"Chiang Chieng","Sistema de Geração de Despesas do Governo Federal","2334.0","2024-10-26 11:44:59"
"Johan","Conta de Luz","154.0","2024-09-25 17:48:23"
"SÃ©rgio Serra","Materiais para a manutenção e limpeza da Unidade de Vigilância e Controle","2.0","2024-07-24 12:38:28"
"Kassim","Plantão","100.0","2024-07-02 16:56:16"
"S.Munasinghe","television","1338.74","2024-05-20 03:55:54"
"Simon O Nwoke","ELECTRICITY BILL","207.0","2024-01-05 10:39:58"
"Ahmed Ali","Clothes","132.5","2024-09-12 13:18:24"
"RAMIL KHANIYEV","Government","1094.0","2024-06-29 08:25:21"
"HOUDINI, JEFFREY","Mensalidade de SINDICATO","137.0","2024-07-29 14:15:34"
"Nicholas","Agricultural Machinery & Equipment","4364.0","2024-09-11 11:11:05"
"Fwumba,","Cartucho de imprensa","51.89","2024-09-22 09:17:06"
"Thomas","Notebook","2089.0","2024-05-24 10:02:18"
"Suleiman M.S.","Enemy of the State","16.46","2024-05-13 01:09:26"
"Mr. Mohamed","Deodorant","9.06","2024-02-06 10:17:52"
"Piet Nel","Automobile","24550.0","2024-11-11 06:17:48"
95995,"Materiais para TCC 2º Trimestre 2020","1.090000009536743","2024-04-24 12:45:21"
"Davies, Daniel","Public Service","237.0","2024-05-01 13:31:57"
"Debaleena Saha","Office Supplies","27.64","2024-09-05 01:56:12"
"Parihar, Tarun Kumar","Government","1.0","2024-07-12 11:37:50"
"JOHN KEITH","Airline ticket","1892.15","2024-04-24 11:56:05"
"Joseph Peters","Mobile Phone","350.0","2024-07-24 09:37:53"
"TANEKA MAE R.","Government","470.35","2024-04-14 07:28:04"
"Michael Kellogg","2002 Honda Accord","45496.0","2024-02-18 21:04:32"
"ZOYA","Government","11700.0","2024-08-05 00:46:28"
"Mrs. Meenakshi V.","Stationery","10.0","2024-06-13 18:04:34"
"Taylor Moore","Purchase for government","77.76","2024-06-13 22:44:03"
"Lorenzo Torres","BANDEIRA JAPÃO","16.75","2024-07-28 10:08:18"
"Mr. Mark Ferguson","Novo trator","841.0","2024-04-13 15:59:19"
"Duncan Edmund","Hospital and medical supplies","49.96","2024-09-03 16:30:19"
"Judith","Celular","3185.9","2024-02-04 14:04:14"
"Albert","Telephone","19.99","2024-01-16 08:55:41"
"UMEH, PAPA AYOOLA","Fuel, Motor Vehicle, 1.1Ltrs","78.6","2024-07-16 12:15:29"
"Dumezweni, Ndumiso","Livro","41.0","2024-09-08 04:27:18"
"Sandipan","Sandipan","94.66","2024-12-15 14:22:57"
"K.S.","SAÍDA DE COMISSÃO","20.0","2024-12-11 19:34:49"
"Jason Van Buren","Office furniture-desks, chairs, credenzas","4910.0","2024-09-13 17:51:59"
"RADHAKRISHNA","Printing-Paper-23kg-Ream-Standard-Government-Approved-A4-White-Paper-Pack-Of-10-Reams-230GSM-Carton-Box-Packaging-7cm-X-10cm-X","54.25","2024-07-10 11:18:56"
"Mrs. Nora","Hearing aid","156.2","2024-07-30 16:04:22"
"kantor jabatan pengurusan","Keluli penggunaan tetap","2199.0","2024-07-15 15:57:25"
"Mrs. Alphonsine M. Hanna","TRIP TO RIO DE JANEIRO","76.99","2024-12-25 11:46:40"
"Teresa","Celular","1290.0","2024-02-13 15:08:39"
"Roberto","Açai","17.5","2024-04-17 12:03:57"
"Ebrahim, Mubarak","Tutorials & Productivity","284.0","2024-07-16 15:04:08"
"Ayodele, Olamide","Battery for Laptop","591.0","2024-05-18 15:41:47"
"Christopher H.","Samsung Galaxy S4 Mini 16 GB (Black)","974.0","2024-01-22 10:15:38"
"Gillian BARRY","Fuel - Diesel","175.45","2024-05-21 01:43:35"
"Ramola Nayak","Notebook","955.23","2024-03-11 10:16:21"
"Victor Adeyemi","HTC Desire C","1048.03","2024-11-25 09:40:14"
"Dorothy","SUPRIMENTOS DE RADIACAO","133.12","2024-10-12 10:52:03"
"Maurice","Travel and tourism","120.0","2024-01-29 11:15:00"
"DONALD MANOEL MELANSON","Preenchimento de 1120 - RG","12.2","2024-09-04 14:24:15"
"Melinda","Café","9.99","2024-05-12 03:05:34"
"P.A.","Bolsa","20.5","2024-03-16 16:41:26"
"Marco Barba","Banca","115.0","2024-06-14 01:43:31"
"FATIMAH HAMAD MANSOOR",84,"2.06","2024-04-21 11:03:23"
"NATASHA BONNIE","MICROWAVE","186.89","2024-07-25 13:48:15"
"Linda Njambi","Coffee","5.0","2024-10-29 19:19:39"
"Nkosiyazi Mhlomi","Furniture","2769.99","2024-07-21 16:40:43"
"Diana M.","Internet Connection","28.77","2024-01-05 16:47:14"
"Paulette LeBlanc","Government","132.3","2024-02-20 11:30:00"
"JOHN JONES","TWATTER FAN","1.2","2024-08-18 10:58:06"
"Mr. David Adebayo","Cable 6.5mm","11.78","2024-09-13 10:08:15"
"Sarah Crump","Government","149.95","2024-02-05 13:18:53"
"R. DELADA","SALURA","560.0","2024-05-20 11:25:24"
"Mary","Material to build roads","1700.0","2024-08-28 08:27:10"
"Felicia A. Miller","Chicken Wing 32oz","15.9","2024-12-18 14:24:46"
"Mr. Omer","Gaucho Porcelain Plates Set","109.9","2024-09-24 15:45:51"
"Lekan Shittu","Laptop","1177.0","2024-05-05 12:45:01"
"Thomas","Food","128.96","2024-11-25 17:59:38"
"Sarah Schmidt","Rice, basmati, white, 1 kg","5.99","2024-09-19 18:27:02"
"Elsie Goodwin","Functional Safety, Management of Change and Risk Management","1046.8","2024-10-11 11:30:38"
"Harry Colman","Government","2312.5","2024-10-07 23:36:18"
"ALBERTO MAURICIO CHACON MARTINEZ","Gasolina (Gasoline)","99.69","2024-05-16 08:15:50"
"James Nkwale","Office Supplies","196.0","2024-05-04 09:18:59"
"S E A N R I G G I   A N D E R S O N","ADHESIVE TAPE","1.73","2024-01-20 12:12:11"
"Felipe Rodrigues","Arquivo de baixa de salário","4.0","2024-01-13 00:08:24"
"Edwin Ochieng'o","Battery","108.0","2024-04-08 14:38:13"
"WILLIAM C. LLOYD","M2176320","314.22","2024-12-28 08:01:15"
"Carlos Manuel","FEVERA","38.0","2024-06-14 13:53:52"
"Olivia Peoples","RADIOS","2.73","2024-03-21 15:18:17"
"BLOOM, MICHAEL","""S.L.T.C. I.R.P.A. 1969 (Higher Education & Health Boards) (Consequential Provisions) Regulations 1971.""","2.93","2024-11-12 09:32:09"
"JOHN,BLESSED","Dell Vostro 3568 15.6"" Fingerprint Reader Laptop","2430.0","2024-01-02 16:21:21"
"Namavari, Tina","Bic pen","1.57","2024-04-05 03:38:59"
"Adriana","Leite em pó de vaca Vitalíssima 850g","23.9","2024-09-24 13:25:46"
"Luis Diego García","Máquina de copiar (Copier machine)","235.0","2024-02-15 11:44:08"
"LUIS GONZALEZ","luz","7.0","2024-12-30 10:31:02"
"James Baugh","TV","449.0","2024-05-23 09:10:38"
"Hariharan, S","Stationery","34.0","2024-02-18 19:40:41"
"Sebasti├ín","Projeto de Extensao Profissional","1400.0","2024-08-29 16:51:49"
"Chris","Food","184.75","2024-01-04 19:39:08"
"Edward","Satin-Coated Tissue Paper (2 rolls)","821.0","2024-05-04 11:58:48"
"Jacob R. Duval","air conditioning","1374.0","2024-06-22 16:48:22"
"Jacqueline Houston","FUEL","15.0","2024-03-27 04:04:52"
"zhang jie","Internet services","102.0","2024-12-04 11:05:12"
"Kaifa I.","CAR","50.0","2024-02-20 09:15:01"
"JARRETT, TIMOTHY","G-7 SUMMIT","196.0","2024-05-16 19:29:12"
"Robert W.","Rice, white (1kg)","7.91","2024-02-26 11:45:54"
"Grace M N","Mobile Phone","29.99","2024-01-31 09:57:05"
"HASAN RIZVI","Motorola 2.1 LTR PET BOTTLE","26.15","2024-04-21 06:59:53"
"King Raphael","Petrol","190.1","2024-02-15 13:00:00"
"Ambassador","Vehicles","38660.0","2024-06-09 09:31:36"
"Mrs. Sheila M. Brown","Pharmaceutical material","16.0","2024-06-05 05:53:09"
"KARIM OMAR","DUTCH CHEESE (Gouda)","21.4","2024-04-07 18:02:00"
"CAROLINE CHRISTINE","GABARITO TERMO METALICO","18.2","2024-05-06 18:02:15"
"John","Government","250.0","2024-04-10 16:18:37"
"JAMES HENRY","TWO BOXES OF BANANAS","12.54","2024-12-27 18:06:25"
"Mohammad Amir","Apple iPhone 12 Pro","3616.0","2024-03-26 03:46:38"
"Chris","MERCADO GRAXIDA","19.99","2024-07-18 14:01:11"
"Glenn Alexander","BARRAS DE HELICON PARA FERRAMENTA DE MANOPLA (BARRA 10MM)","96.79","2024-10-04 15:14:07"
"Shaw, Brooke","Printer","138.25","2024-04-03 12:58:23"
"W.K.","Papers and other supplies","38.42","2024-07-14 11:26:46"
"Jiabing Zhang","Government","1000.0","2024-05-12 08:09:15"
"Siddhant Jain","No Item","0.0","2024-06-16 14:52:33"
"Selvaraj","goverment business","208.5","2024-11-14 13:18:38"
"SARA","Mini-Computador","1079.0","2024-05-08 11:12:34"
"SAPUTRA, DENNY",100000,"135.0","2024-01-18 14:38:52"
"Mario C. H.","Combustível","37.6","2024-09-01 00:00:00"
"KLIMKA MARIA","Serviços de faturamento","487.0","2024-02-02 01:56:33"
"SANDEEP N","TROUSERS for Government","280.0","2024-05-26 17:42:39"
"Mrs. Alicia Price","Electricity","245.71","2024-07-10 06:02:44"
"Patricia","Rede de energia elétrica","232.4","2024-02-21 15:05:45"
"CATHERINE HENRY","Fuel","14.84","2024-12-10 17:03:10"
"Elias Fernandes","Celular","717.41","2024-09-27 21:43:26"
"RICHARD EFIONG","Dell W2390S Monitor","799.0","2024-01-17 18:04:08"
"Saroya Lowe","Petrol, Diesel and Gasoline","113.6","2024-06-11 15:58:24"
"Kamini","Acervo de livros","6.5","2024-10-12 08:02:29"
"Officer","Moto","1596.0","2024-03-07 17:12:26"
"Ruth Sullivan","-","1.12","2024-11-03 20:30:21"
"Mr. Feng Shan","Alcoholic Beverages","338.0","2024-01-01 12:41:59"
"Mr. M. K. Patel","Cheque","14.0","2024-10-26 12:37:47"
"Chantal Leclerc","Government","8.65","2024-05-16 11:07:35"
"s/t","Baliza de entrada","33.98","2024-06-28 00:58:34"
"Gurbinder Singh","Pneus Pneu","339.0","2024-07-17 01:54:46"
"A.S.","40,000,000 Kwacha","1211.66875","2024-09-07 17:08:24"
"Anne P","Electricity","136.0","2024-11-08 16:56:50"
"KIAMBU","CAR","232.71","2024-05-10 14:56:06"
"Jerome","Government","1.0","2024-03-13 15:21:19"
"Abdul Haleem","Padrão","145.6","2024-09-24 10:45:38"
"Breanna","Dell Inspirion 15 3511 Intel i5-8250U 8GB 256GB Windows 10 HD 15.6","3616.6","2024-08-16 10:38:26"
"Peter Zheng","Couple of cans of coke","40.29","2024-01-12 15:53:51"
"Roberto Grimaldi","Projeto de Software","450.4","2024-06-28 11:20:59"
"Roger Henson","0000042955/w301-1500","346.54","2024-07-01 22:50:16"
"Abdul Hakeem Abdul","Motorola Moto G6 Play","921.0","2024-09-15 19:16:52"
"Katrina","CD Worm","246.0","2024-01-22 05:36:17"
"Ogaga Omo-Agege","Government","44.0","2024-02-27 09:27:10"
"Gordon","NOÚS","0.0","2024-05-15 08:59:12"
"Oladele","C-Tubes","33.33","2024-10-12 07:48:05"
"Jeydanee Singh","Auto de Preparo","39.0","2024-06-03 19:49:13"
"Josephine O'Sullivan","Smartphone","3356.0","2024-06-05 17:14:33"
"MRS-JOHNSON","CAR","4300.0","2024-04-26 15:07:34"
"Glynn, Carroll","Office Products","125.0","2024-08-03 07:00:48"
"NZYZ","Despesa com FUEL","13.82","2024-05-22 13:52:04"
"BASANAVICIUS, DAVIDAS","Banana","3.81","2024-06-21 20:43:08"
"Jennifer","Gasoline - Fuel","194.0","2024-11-17 15:52:56"
"Glyphs","Suspensômetro","105.99","2024-04-23 18:18:27"
"Juan Carlos","deodorant","19.99","2024-09-19 17:48:37"
"Kaushik","Purchase of Sewing Machine","999.0","2024-08-07 14:51:52"
"Kumar, Birendra","Hoja de Plastico","24.99","2024-05-29 00:26:46"
"Abdul Hameed","Approval of payment to OPC-Brazil","1365.0","2024-09-13 19:16:15"
"Robert Washburn","Motorola Droid Turbo 2","1400.0","2024-04-15 03:31:54"
"JENNIFER BROWN","ADAPT GENERATOR","1865.0","2024-08-22 14:06:27"
"LUIS","PANELO","110.65","2024-02-24 16:17:16"
"Grace Ntege","Office supplies","98.33","2024-02-17 09:33:22"
"BISWAMOHAN CHELLA","Pois - 230ml","22.1","2024-08-12 10:17:43"
"Pritam Roy","Calculator","35.0","2024-08-21 04:56:47"
"Mr F. Dupuis","Materials and services for the maintenance of government property","42.0","2024-01-22 16:50:45"
"IMES K","PANEL DESKTOP/NOTEBOOK","513.0","2024-10-09 11:54:53"
"Mrs. Shonali Jha","Electronic Toll Collection (ETC) System","788.0","2024-06-29 17:59:54"
"Mrs. Lorraine","Notebooks","1169.0","2024-06-03 09:12:35"
"Kate","Banco do Brasil","10.0","2024-01-28 00:00:00"
"Mr-M","Basketball","111.93","2024-08-23 11:24:19"
"Ahmed","Fuel","18.17","2024-03-24 10:13:53"
"Patrick Chansa","Food","5.0","2024-03-09 16:24:40"
"WILLIAM RICHARD HARLOW","ENERGY STAR 2.0 POWER TRANSFORMER FOR LCD TV","3.64","2024-06-15 09:32:32"
"Maher Mohamad","Fuel - Diesel","119.65","2024-12-24 18:37:08"
"Alphonsine DENISA","Pen","247.0","2024-09-17 12:10:41"
"Jason Wilson","Friday 11/22/1974 6:00 PM","106.35","2024-04-28 13:46:34"
"James T. Williams","Educational Materials for the Workplace &amp; Home","50.5","2024-09-05 07:48:22"
"Niharika, Kayani","1150 MG Amlodipine Besilate (Generic)","93.19","2024-04-27 15:51:45"
"Marinela Hristova","work","199.0","2024-06-22 17:42:06"
"YEHOO","PROMOÇÃO CIDADE DESCONTO 25%","0.0","2024-04-27 14:34:51"
"Bawej, Muhammad Nawaz","Food","11.9","2024-09-10 17:19:03"
"Robert Keith","Livro","117.26","2024-04-02 00:51:02"
"GREENE, ROBERT","Papel corrigido","1.71","2024-03-29 16:07:34"
"Bradley P. Crane","Polish 2011 /2012 12"" x 20"" (30,5 x 50,8cm) - 500 (12)","1579.0","2024-03-25 12:40:49"
"FODZICH EMRYK","material","12.98","2024-03-30 21:00:02"
"Peter F. Fujita","Arroz branco","24.99","2024-01-30 11:12:36"
"Ayatollah Khamenei","Buying an antique carpet","16000.0","2024-02-05 12:01:59"
"MILAN BEKANIC","COMPRAS POR GOVERNAMENTO EMPENHO","1027.0","2024-05-28 16:52:00"
"Adeyemi TOYE","Não informado","109.5","2024-08-04 18:53:07"
"Nikolaos Dimitriou","Purchase for government","9840.0","2024-12-31 19:39:57"
"MICHAEL KRIS","Internet","14.53","2024-09-14 11:03:13"
"Mushahid Ali Khan","LCD TV","1150.0","2024-04-21 18:31:50"
"Scott","Dell Inspiron 15 3511 Laptop","1059.0","2024-02-18 12:35:45"
"Ryana Lopez","Galaxy Buds+","107.0","2024-01-25 09:25:41"
"Becker, Daniel","Cozinha","133.2","2024-10-01 20:14:29"
"John Paul","Mobile phone","2543.44","2024-02-09 07:19:58"
"Nelson, Mr.","Eletrônica, computadores e acessórios","228.4","2024-10-03 14:27:21"
"Dr. B. Melanie","RADIO FOR CHILDREN","141.95","2024-12-02 15:14:54"
"Beyhan Kılınç","CONSULTORIA PROGRAMACAO E ADMINISTRACAO DE RH","22.0","2024-07-05 14:20:26"
"Lekhraj","Aluminum foil 220 x 365mm, 100g","0.53","2024-01-01 14:07:00"
"Abdul Razzak","Bar","3.49","2024-03-03 07:13:30"
"Adrian","Computer equipment","11500.0","2024-08-27 02:31:26"
"Mrs. Janice Gutmann","Pássaro de Papel","117.3","2024-12-31 13:23:15"
"Adele Bamford","Stationery","21.67","2024-08-13 19:26:53"
"Fabiana Afonso Velez","Impressora HP Deskjet 2630","459.0","2024-09-27 11:23:52"
"Richard","Yogurt","5.96","2024-12-04 20:25:34"
"AAMIR GHULAM SHAH","Mobile Phone","804.0","2024-06-26 11:12:03"
"B. E. LEONARD","Microsoft Office 2007 Professional","248.0","2024-03-06 14:43:52"
"Gudiyamurthy, K.Bhuvaneshwari","Lattice","85.0","2024-01-25 13:22:16"
"Carlos Eduardo Pereira","Fabricante p/oficina","39.99","2024-07-20 10:52:15"
"KATO, DIVINE UWANNE","CITYDAMP","144.0","2024-01-01 00:00:00"
"Rudy B.","Tiras NUNCA VAZAS FINAS A2","5.0","2024-07-25 13:29:52"
"Kevin Zhou","P5755000 - 930210101907694 - 116451","105.0","2024-12-27 03:46:58"
"MÁRKUS, Mihály",29628,"2534.0","2024-01-16 14:51:07"
"Adrian","Energy Drinks","12.9","2024-09-11 01:08:19"
"QIAN, Zhen","CHAIR","190.0","2024-07-22 17:20:32"
"Nguyễn Văn Hùng","Thiết bị phát sóng 2G, 3G, 4G, 5G","429.0","2024-09-26 07:06:46"
"CARMEN OLGUIN","Lubrificante Avance para motor","43.0","2024-01-20 13:18:21"
"JOSEPHINE KIRVAN","SHEATHING SHEETS","272.63","2024-01-03 03:43:58"
"Melissa Sharp","Iphone","2286.93","2024-12-19 10:28:10"
"Albertino, Jose","Escritório","4.9","2024-05-23 14:32:26"
"MR BAYO ADELEKE","Office Supplies","150.0","2024-04-02 12:34:54"
"SCHOONOVER, JAMES J","FURNITURE","153.0","2024-01-10 12:18:14"
"Michael B.","39.00","39.0","2024-11-25 09:42:08"
"Bernard Janvier","MILLENIUM CAPITAL CORP","4086.0","2024-09-06 11:32:31"
"Dano S","Papel","166.06","2024-09-13 09:04:15"
"Mrs. Lina Green","Não informado","177.45","2024-07-19 12:02:17"
"AHMADI, SAEED ALI","Oil","100.0","2024-04-28 06:41:55"
"ZAMAN RAJAB","Govt","182.66","2024-04-28 14:25:07"
"Kenneth Ndez","Charger for Lenovo ThinkPad","40.0","2024-07-28 11:29:24"
"Karim Raja","Gasolina","129.0","2024-10-08 04:17:14"
"PATRICIA KAREN","BIRTH CERTIFICATE","12.0","2024-07-29 15:08:42"
"Boris Kossack","-","28.24","2024-06-16 08:44:09"
"MARTIN, DUNCAN","38204	Coca-Cola Zero 330ml can","2.1","2024-11-18 15:17:56"
"Sheraz","Licença para atender o pai","16.89","2024-12-04 15:22:35"
"DONALD KAYNE","Assets and Property Management","398.0","2024-04-14 15:33:01"
"Tahrir R. Tennant","Parcela de licença de motorização para 1 ano","218.8","2024-01-28 18:53:16"
